,0,1,2,3,4,5,6,7,8,9,10
0,№,Код станции,Код станции,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
1,№,междуна-родный,региональ-ный,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
90,89,CHBI.SM,CHB,Чибит,ASGSR,50.3132,87.5034,1164,03.10.2003,,sds
91,90,CIRR,CIR,Цирк,KAGSR,56.115,160.748,1450,16.10.1998,,lds
92,91,CIT,ЧТ,Чита,BAGSR,52.021,113.552,759,14.07.1970,,rds
93,92,CIT.SM,ЧТ,Чита,BAGSR,52.021,113.552,759,14.07.1970,,sds
94,93,CLNS,CHL,Чульман,YAGSR,56.837,124.893,745,01.07.1963,,rds
95,94,CRS,ЧР,Чара,BAGSR,56.9,118.269,700,11.11.1960,,rds
96,95,CRS.SM,ЧР,Чара,BAGSR,56.9,118.269,700,11.11.1960,,sds
97,96,CUR,CUR,Чаган-Узун,ASGSR,50.101,88.358,1740,13.02.2002,,rds
98,97,CUR.SM,CUR,Чаган-Узун,ASGSR,50.101,88.358,1740,13.02.2002,,sds
99,98,DALK,DAL,Дальний,KAGSR,53.0311,158.754,57,06.10.2009,,rds
100,99,DALK.SM,DAL,Дальний,KAGSR,53.0311,158.754,57,06.10.2009,,sds
101,100,DBC,DBC,Дубки,DAGSR,43.0216,46.841,850,01.03.1975,,rds
102,101,DBC.SM,DBC,Дубки,DAGSR,43.0216,46.841,850,01.03.1975,01.11.2008,sas
103,102,DEPR,DEP,Депутатский,YAGSR,69.39,139.9,320,27.08.2003,,rds
104,103,DGZ,DGZ,Джазатор,ASGSR,49.7005,87.4316,1606,20.08.2003,,rds
105,104,DGZ.SM,DGZ,Джазатор,ASGSR,49.7005,87.4316,1606,01.01.2013,,sds
106,105,DIGR,DIGR,Дигорское ущелье,NOGSR,42.89,43.57,1903,14.06.2018,,rds
107,106,DIGR,DIG,Дигорское ущелье,NOGSR,42.8994,43.5807,1903,01.07.2004,13.06.2018,rds
108,107,DJO,DJO,Джой,ASGSR,52.782,91.218,553,10.01.2012,,rds
109,108,DJO.SM,DJO,Джой,ASGSR,52.782,91.218,553,01.01.2013,,sds
110,109,DJOS,DJOS,Джойская Сосновка,ASGSR,52.795,91.398,569,03.02.2011,,rds
111,110,DJOS.SM,DJOS,Джойская Сосновка,ASGSR,52.795,91.398,569,01.01.2013,,sds
112,111,DLMR,DLMR,Дылым,DAGSR,43.073,46.6187,660,08.09.1974,,rds
113,112,DLMR.SM,DLM,Дылым,DAGSR,43.073,46.6187,660,08.09.1974,31.12.2011,sas
114,113,DOMR,DOMR,Домбай,KMGSR,43.292,41.624,1608,25.10.2006,,rds
115,114,DRN,DRN,Дербент,DAGSR,42.0204,48.3318,-20,25.06.1975,01.06.2015,rds
116,115,DRN,DRN,Дербент,DAGSR,41.9976,48.3392,-21,05.11.2015,,rds
117,116,DVE,DVE,Ведено,OBGSR,42.9569,46.1261,800,01.07.2011,,rds
118,117,EKMR,ЭКМ,Экимчан,SAGSR,53.073,132.949,530,01.12.1979,,rds
119,118,EKMR.SM,ЭКМ,Экимчан,SAGSR,53.073,132.949,530,01.12.1979,21.09.2015,sds
120,119,ELDR,ELDR,Еланда (Эланда),ASGSR,51.2173,86.0896,472,04.10.2002,,rds
121,120,ELDR.SM,ELDR,Еланда (Эланда),ASGSR,51.2173,86.0896,472,28.07.2017,,sds
122,121,ELT,ELT,Ельцовка,ASGSR,53.261,86.239,235,05.07.1962,,rds
123,122,ELT.SM,ELT,Ельцовка,ASGSR,53.261,86.239,235,01.01.2013,,sds
124,123,ERBR,ERBR,Еремизино-Борисовская,KMGSR,45.7146,40.4835,286,07.10.2009,,rds
125,124,ERNS,ERNS,Эрзин,ASGSR,50.265,95.161,1110,03.06.1964,,rds
126,125,ERNS.SM,ERNS,Эрзин,ASGSR,50.265,95.161,1110,03.06.1964,,sds
127,126,ERU,ERU,Ерунаковская,ASGSR,54.14,87.384,358,20.06.2015,,rds
128,127,ERU.SM,ERU,Ерунаковская,ASGSR,54.14,87.384,358,20.06.2015,,sds
129,128,ESO,ESO,Эссо,KAGSR,55.9316,158.695,490,24.11.1965,,rds
130,129,ESO.SM,ESO,Эссо,KAGSR,55.9316,158.695,490,21.11.2013,,sds
131,130,EVEN,EVEN,Эвенск,NEGSR,61.914,159.229,17,23.11.2008,,rds
132,131,FFNB,FFN,Фофоново,BUGSR,52.048,106.765,564,01.08.1999,,rds
133,132,FRSO,FRSV,Фирсово,SAGSR,47.64,142.558,11,01.11.2008,,lds
134,133,GADL,GADL,Гадля,NEGSR,59.667,151.319,27,23.10.2015,,rds
135,134,GALT,GATR,Горно-Алтайск,ASGSR,51.959,85.946,303,28.02.2012,,rds
136,135,GALT.SM,GATR,Горно-Алтайск,ASGSR,51.959,85.946,303,28.02.2012,,sds
137,136,GASM.SM,GASM,Горно-Алтайск (Администрация),ASGSR,51.959,85.96,298,18.10.2017,17.11.2017,sds
138,137,GELR,GELR,Геленджик,OBGSR,44.5803,37.9867,70,17.07.2017,10.07.2019,rds
139,138,GL1R,GL1R,Геленджик,OBGSR,44.5485,38.0696,60,01.05.2013,16.07.2017,rds
140,139,GLDR,GLDR,Гладковский,OBGSR,44.983,37.721,230,07.10.2018,,rds
141,140,GLVR.TSU,ГЛВ,Головнино,SAGSR,43.7386,145.519,10,01.10.2011,03.07.2020,tds
142,141,GNBR,GNBR,Гуниб,DAGSR,42.3893,46.9638,1210,07.07.1999,,rds
143,142,GNBR.SM,GNB,Гуниб,DAGSR,42.3893,46.9638,1210,07.07.1999,19.09.2008,sas
144,143,GNL,GNL,Ганалы,KAGSR,53.695,157.942,1200,15.01.1988,,lds
145,144,GOF,-,Гофицкое,OBGSR,45.058,43.043,293,11.03.1994,20.07.2016,rds
146,145,GOFR,GOFR,Гофицкое,OBGSR,45.0838,43.0485,225,20.07.2016,,rds
147,146,GORB,GOR,Горячинск,BUGSR,52.986,108.285,480,24.07.2011,,rds
148,147,GOYR,GOYR,Гойтх,OBGSR,44.2471,39.377,300,29.09.2015,,rds
149,148,GRL,GRL,Горелый,KAGSR,52.554,158.073,1400,14.08.1980,,lds
150,149,GRNR,ГРН,Горный,SAGSR,50.763,136.449,470,01.12.1978,,rds
151,150,GRNR.SM,ГРН,Горный,SAGSR,50.757,136.44,512,01.12.1978,13.08.2005,sas
152,151,GROC,GRO,Грозный,OBGSR,43.2027,45.7961,198,15.04.2008,,rds
153,152,GRPR.TSU,ТМН,Туман,SAGSR,43.9927,145.772,140,01.09.2011,01.02.2016,tds
154,153,GRTR,GRT,Горнотаёжное,SAGSR,43.701,132.163,256,23.08.2006,30.09.2022,rds
155,154,GRVA,GRV,Грива,IGKR,60.577,50.781,184,03.03.2011,24.12.2018,lds
156,155,GRYR,GRYR,Горное,OBGSR,44.1165,41.0936,740,12.11.2017,,rds
157,156,GUMR.RT,GUM,Гумбаши,KMGSR,43.776,42.247,2312,01.01.1990,12.07.2004,rdt
158,157,GUZR,GUZR,Гузерипль,OBGSR,43.9963,40.1184,822,15.06.2012,,rds
159,158,GZL,GZL,Железногорск,ASGSR,56.265,93.542,165,29.08.2002,,rds
160,159,GZL.SM,GZL,Железногорск,ASGSR,56.265,93.542,165,01.12.2012,,sds
161,160,GZLN,GZLN,Железногорск-2,ASGSR,56.383,93.767,212,24.12.2012,,rds
162,161,GZLN.SM,GZLN,Железногорск-2,ASGSR,56.383,93.767,212,24.12.2012,,sds
163,162,HABR,HABR,Хабаровск,OBGSR,48.473,135.052,58,01.04.2005,28.10.2019,wds
164,163,HMA,ХМН,Ханты-Мансийск,ASGSR,60.991,69.029,40,01.04.2000,31.12.2003,rds
165,164,HNZR,HNZR,Хунзах,DAGSR,42.5582,46.7167,1675,06.10.2016,,rds
166,165,HRMR,HRM,Хурамша,BUGSR,51.6281,106.955,620,01.04.1997,,rds
167,166,IENR,IEN,Иенгра,YAGSR,56.224,124.857,860,10.07.2004,01.06.2017,rds
168,167,IN0,IN0,Инта,IGKR,66.013,60.22,71,04.08.2021,,lds
169,168,INSR,INS,Институт,KAGSR,53.0665,158.609,165,01.01.1974,31.12.2013,lds
170,169,IRK,ИРК,Иркутск,BAGSR,52.243,104.271,467,02.12.1901,,wds
171,170,IRK.SM,ИРК,Иркутск,BAGSR,52.243,104.271,467,02.12.1901,,sds
172,171,IVK,IVK,Ивановка,BAGSR,51.8009,104.414,470,29.05.2011,,rds
173,172,KAB,КБ,Кабанск,BAGSR,52.05,106.654,468,01.01.1951,,rds
174,173,KAB.SM,КБ,Кабанск,BAGSR,52.05,106.654,468,01.01.1951,,sds
175,174,KAIR,KAIR,Катав-Ивановск,OBGSR,54.6181,58.2826,510,30.07.2020,,rds
176,175,KALT1,KALT1,Калтан-1,ASGSR,53.416,87.423,308,15.09.2018,,rds
177,176,KALT1.SM,KALT1,Калтан-1,ASGSR,53.416,87.423,308,15.09.2018,,sds
178,177,KALT2,KALT2,Калтан-2,ASGSR,53.4,87.324,301,16.09.2018,,rds
179,178,KALT2.SM,KALT2,Калтан-2,ASGSR,53.4,87.324,301,16.09.2018,,sds
180,179,KALT3,KALT3,Калтан-3,ASGSR,53.513,87.439,331,14.09.2018,,rds
181,180,KALT3.SM,KALT3,Калтан-3,ASGSR,53.513,87.439,331,14.09.2018,,sds
182,181,KAMR,KAM,Каменское,KAGSR,62.456,166.21,190,24.10.1994,21.06.2010,rds
183,182,KANR,KANR,Караман,DAGSR,43.196,47.489,-25,01.12.2013,,rds
184,183,KAUR,KAU,Каменск-Уральский,OBGSR,56.4318,61.503,168,02.04.2007,,rds
185,184,KBG,KBG,Крутоберегово,KAGSR,56.2584,162.713,30,10.04.1968,,wds
186,185,KBG.SM,KBG,Крутоберегово,KAGSR,56.2584,162.713,30,01.09.2009,,sds
187,186,KBTC,KBTC,Куба-Таба,KMGSR,43.8166,43.4084,687,10.11.2006,,rds
188,187,KBTR,KBT,Крутоберегово,KAGSR,56.208,162.819,360,05.04.1997,,lds
189,188,KDTR,KDT,Ходутка,KAGSR,51.809,158.077,22,25.08.2011,,rds
190,189,KDTR.SM,KDT,Ходутка,KAGSR,51.809,158.077,22,25.08.2011,,sds
191,190,KELR,KEL,Котокель,BUGSR,52.763,108.078,460,03.11.2005,,rds
192,191,KEM,KEM,Кемерово,ASGSR,55.343,86.089,133,19.05.2005,,rds
193,192,KGUR,-,Краснодар,OBGSR,45.0216,39.0297,66,02.11.2003,31.12.2017,wds
194,193,KHAR,KHAR,Харино,ASGSR,54.613,83.59,130,10.09.2011,,rds
195,194,KHBR,ХБР,Хабаровск,SAGSR,48.473,135.052,58,11.08.2005,,rds
196,195,KHLM.TSU,KHL,Холмск,SAGSR,47.055,142.052,34,10.10.2008,,tds
197,196,KHNR,KHN,Хани,YAGSR,56.9211,119.979,690,11.12.2005,,rds
198,197,KII,KRY,Карымский,KAGSR,54.036,159.449,900,10.02.1973,,lds
199,198,KIRR,KIR,Киришева,KAGSR,55.953,160.342,1470,05.08.2006,,rds
200,199,KIV,-,Кисловодск,OBGSR,43.955,42.686,1054,03.02.1994,,wds
201,200,KIV0,-,Кисловодская группа,OBGSR,43.956,42.695,1196,28.09.1992,,rda
202,201,KIYZ,KIYZ,Кийзас,ASGSR,53.558,87.759,247,26.12.2014,,rds
203,202,KIYZ.SM,KIYZ,Кийзас,ASGSR,53.558,87.759,247,26.12.2014,,sds
204,203,KLMR,KLM,Климовская,OBGSR,60.854,39.519,157,25.11.2003,,wds
205,204,KLNR,KLN,Калининград,OBGSR,54.6044,20.2094,8,10.04.2009,,wds
206,205,KLR,-,Кульдур,OBGSR,49.236,131.738,486,15.09.1954,,wds
207,206,KLY,KLY,Ключи,KAGSR,56.317,160.857,35,01.01.1946,,wds
208,207,KLY.SM,KLY,Ключи,KAGSR,56.317,160.857,35,17.02.2011,,sds
209,208,KMGR,KMGR,Комгарон,NOGSR,43.0572,44.8659,739,07.08.2010,,rds
210,209,KMKR,KMKR,Кумух,DAGSR,42.1287,47.0977,1898,01.04.1985,,rds
211,210,KMNR,KMN,Каменистая,KAGSR,55.756,160.247,1145,27.09.1990,,lds
212,211,KMO,КМР,Кумора,BAGSR,55.887,111.203,490,26.09.1966,,rds
213,212,KMO.SM,КМР,Кумора,BAGSR,55.887,111.203,490,26.09.1966,,sds
214,213,KMSK,KMSK,Каменская,KAGSR,62.467,166.206,45,05.07.2010,,rds
215,214,KMSR,KMS,Комсомольская,NOGSR,43.3708,44.2924,352,11.08.2005,26.01.2009,rds
216,215,KNGR,KNGR,Кунгуртуг,ASGSR,50.6043,97.5171,1314,04.03.2012,,rds
217,216,KNGR.SM,KNGR,Кунгуртуг,ASGSR,50.6043,97.5171,1314,04.03.2012,,sds
218,217,KOK,KRK,Коряка,KAGSR,53.296,158.643,1050,30.08.1977,,lds
219,218,KOLBA,KOLBA,Колба,FCIAR,73.529,80.701,11,10.10.2020,,rds
220,219,KORR,KORR,Кора,NOGSR,43.0861,44.0677,618,03.11.2005,,rds
221,220,KOS6,KOS6,Костомукша,IGKRC,64.592,30.417,228,19.06.2014,,lds
222,221,KOST,KOST,Костёнково,ASGSR,53.651,86.822,325,31.08.2015,,rds
223,222,KOST.SM,KOST,Костёнково,ASGSR,53.651,86.822,325,31.08.2015,,sds
224,223,KOTO,KOTO,Котино,ASGSR,54.187,86.923,279,25.02.2016,,rds
225,224,KOTO.SM,KOTO,Котино,ASGSR,54.187,86.923,279,25.02.2016,,sds
226,225,KOZ,KOZ,Козыревск,KAGSR,56.0579,159.872,60,21.06.2001,,rds
227,226,KOZ.SM,KOZ,Козыревск,KAGSR,56.0579,159.872,60,04.12.2013,,sds
228,227,KPC,ХПЧ,Хапчеранга,BAGSR,49.704,112.378,1067,25.12.1968,,rds
229,228,KPC.SM,ХПЧ,Хапчеранга,BAGSR,49.704,112.378,1067,25.12.1968,,sds
230,229,KPT,KPT,Копыто,KAGSR,55.966,160.222,1000,23.10.1997,,lds
231,230,KRER,KRE,Корякский ретранслятор,KAGSR,53.304,158.749,1845,15.01.2009,,lds
232,231,KRMR,KRM,Карымшина,KAGSR,52.8278,158.131,90,17.01.2000,,rds
233,232,KRMR.SM,KRM,Карымшина,KAGSR,52.8278,158.131,90,22.12.2010,,sds
234,233,KRNR,KRNR,Каранай,DAGSR,42.8267,46.9053,1250,04.04.1988,,rds
235,234,KROS,КРС,Кировский,SAGSR,54.429,126.976,472,01.12.2021,,rds
236,235,KROS,КРС,Кировский,SAGSR,54.429,126.976,472,01.04.1974,09.08.2014,rds
237,236,KROS.SM,КРС,Кировский,SAGSR,54.429,126.976,472,09.08.2014,,sds
238,237,KRS4,KSKV,Корсаков,SAGSR,46.611,142.798,98,25.07.2002,,lds
239,238,KRSR,KRS,Крестовский,KAGSR,56.217,160.565,1180,08.04.1988,,lds
240,239,KRX,KRX,Арик,KAGSR,53.359,158.649,1410,19.08.2009,,lds
241,240,KSMR,KSMR,Касумкент,DAGSR,41.6023,48.1246,930,01.10.1987,,rds
242,241,KSMR.SM,KSM,Касумкент,DAGSR,41.6023,48.1246,930,01.10.1987,31.12.2011,sas
243,242,KTNR,KTNK,Кайтанак,ASGSR,50.145,85.465,1031,18.05.2001,,rds
244,243,KUBR.RT,KUB,Куба-Таба,KMGSR,43.8,43.41,665,01.12.1997,27.06.2009,rdt
245,244,KUR,КУР,Курильск,SAGSR,45.231,147.873,40,01.01.1950,,rds
246,245,KUR.TSU,КУР,Курильск,SAGSR,45.231,147.873,40,05.09.2010,,tds
247,246,KURRC,КУРСЦ,Китовый,SAGSR,45.254,147.889,39,19.07.2020,,rds
248,247,KURRC.SM,КУРСЦ,Китовый,SAGSR,45.254,147.889,39,19.07.2020,,sds
249,248,KVDA,KVDA,Ковда,KOGSR,66.692,32.872,18,01.07.2018,,rds
250,249,KVT,-,Кисловодская телеметрия,KMGSR,43.956,42.695,1196,01.08.2000,27.06.2009,wda
251,250,KZL,KZL,Козельский,KAGSR,53.2017,158.8992,992,25.10.2021,,rds
252,251,KZLR,KZL,Кызыл,ASGSR,51.705,94.4538,603,15.03.2001,,rds
253,252,KZLR.SM,KZL,Кызыл,ASGSR,51.705,94.4538,603,01.01.2012,,sds
254,253,KZV,KZV,Кизимен,KAGSR,55.113,160.294,1500,28.09.2009,,lds
